Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
  svchost.exe		83,948 K	65,604 K	7180	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		7,052 K	21,724 K	1772	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,920 K	11,708 K	6188	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,620 K	7,288 K	5536	Host Process for Windows Services	Microsoft Corporation
   Windows.WARP.JITService.exe		1,236 K	5,484 K	3012		
   Windows.WARP.JITService.exe		1,236 K	5,296 K	4652		
  svchost.exe		1,952 K	7,376 K	4848	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,644 K	11,340 K	3324	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,648 K	11,248 K	7552	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,228 K	9,988 K	6316	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,096 K	12,968 K	6660	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.02	7,872 K	18,352 K	1832	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		3,680 K	17,008 K	3772	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,236 K	7,152 K	108	Host Process for Windows Services	Microsoft Corporation
 lsass.exe	< 0.01	7,044 K	18,700 K	640	Local Security Authority Process	Microsoft Corporation
 fontdrvhost.exe		1,276 K	3,196 K	792		
csrss.exe	0.43	1,960 K	5,328 K	512		
winlogon.exe		2,604 K	12,160 K	596		
 fontdrvhost.exe		3,660 K	8,800 K	784		
 dwm.exe	2.84	70,384 K	151,644 K	1008		
explorer.exe	0.72	98,332 K	212,892 K	4472	Windows Explorer	Microsoft Corporation
 SecurityHealthSystray.exe		1,688 K	8,672 K	6584	Windows Security notification icon	Microsoft Corporation
 VBoxTray.exe	< 0.01	2,396 K	10,444 K	6648	VirtualBox Guest Additions Tray Application	Oracle Corporation
 OneDrive.exe		24,148 K	64,520 K	6792	Microsoft OneDrive	Microsoft Corporation
 mintty.exe	0.85	8,136 K	19,344 K	6068	Terminal	Andy Koppe / Thomas Wolff
 SystemPropertiesAdvanced.exe		2,888 K	16,064 K	8880		
 mmc.exe	< 0.01	57,756 K	19,428 K	8464		
 powershell.exe	0.03	65,608 K	83,744 K	8168	Windows PowerShell	Microsoft Corporation
  conhost.exe		5,116 K	16,704 K	7844	Console Window Host	Microsoft Corporation
 procexp64.exe	7.58	32,532 K	81,108 K	8648	Sysinternals Process Explorer	Sysinternals - www.sysinternals.com
GoogleCrashHandler.exe		1,692 K	216 K	6500		
